ID   ,name   ,width,height,Wu  ,Syromolotov,Syromolotov_my,Wolter,Wolter_my,Olšák,Simpson,BGU ,BGU_my ,Tamura/Copris,Tamura/Copris_my,Lagerkvist/Gecode,Kjellerstrand/Gecode,Kjellerstrand/Lazyfd,pynogram_my,nonogrid_my,nonogrid_sat,andy_p
1    ,Dancer ,5    ,10    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.06,0.141  ,0.92         ,5.511           ,0.01             ,0.01                ,0.04                ,0.976      ,0          ,0.004       ,0.004
6    ,Cat    ,20   ,20    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.08,0.110  ,4.0          ,5.768           ,0.01             ,0.02                ,0.44                ,1.064      ,0          ,0           ,0.028
21   ,Skid   ,14   ,25    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.08,0.101  ,4.1          ,5.775           ,0.01             ,0.02                ,0.64                ,1.084      ,0          ,0           ,0.034
27   ,Bucks  ,27   ,23    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.16,0.118  ,6.2          ,6.173           ,0.01             ,0.02                ,1.10                ,1.116      ,0          ,0           ,0.050
23   ,Edge   ,10   ,11    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.09,0.094  ,1.3          ,5.578           ,0.01             ,0.01                ,0.08                ,1.208      ,0          ,0           ,0.006
2413 ,Smoke  ,20   ,20    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.19,0.120  ,5.5          ,5.907           ,0.01             ,0.02                ,0.60                ,1.464      ,0.008      ,0.008       ,0.053
16   ,Knot   ,34   ,34    ,0   ,0          ,0             ,0     ,0.004    ,0    ,0      ,0.20,0.140  ,9.7          ,7.336           ,0.01             ,0.02                ,5.5                 ,1.332      ,0          ,0           ,0.186
529  ,Swing  ,45   ,45    ,0   ,0          ,0             ,0     ,0        ,0    ,0      ,0.25,0.138  ,10.3         ,7.036           ,0.02             ,0.04                ,13.2                ,1.784      ,0.004      ,0.004       ,0.169
65   ,Mum    ,34   ,40    ,0   ,0.01       ,0.008         ,0.01  ,0.008    ,0    ,0.01   ,0.26,0.147  ,9.5          ,7.292           ,0.02             ,0.04                ,11.0                ,2.108      ,0.008      ,0.012       ,0.166
7604 ,DiCap  ,52   ,63    ,0.01,0.11       ,0.080         ,0.02  ,0.008    ,0    ,0      ,2.1 ,0.176  ,19.7         ,11.297          ,0.02             ,0.06                ,+                   ,2.076      ,0.008      ,0.020       ,1.324
1694 ,Tragic ,45   ,50    ,0.02,0.02       ,0.022         ,0.04  ,0.020    ,0.03 ,0.54   ,0.62,0.265  ,10.9         ,7.617           ,0.14             ,216                 ,32.1                ,2.368      ,0.036      ,0.036       ,0.822
1611 ,Merka  ,55   ,60    ,0.02,0.01       ,0.004         ,0.01  ,0.004    ,0.01 ,0      ,0.35,0.196  ,15.5         ,8.894           ,0.03             ,+                   ,66                  ,2.084      ,0.020      ,0.016       ,3.301
436  ,Petro  ,40   ,35    ,0.01,0.04       ,0.031         ,0.06  ,0.044    ,15.2 ,0.10   ,0.58,0.219  ,8.3          ,7.002           ,84               ,1.6                 ,6.2                 ,2.948      ,0.028      ,0.024       ,0.830
4645 ,M&M    ,50   ,70    ,    ,0.07       ,0.052         ,0.07  ,0.040    ,0.10 ,0.02   ,0.84,0.375  ,12.2         ,7.474           ,0.93             ,0.28                ,48.1                ,3.588      ,0.056      ,0.048       ,4.477
3541 ,Signed ,60   ,50    ,0.07,0.09       ,0.068         ,0.04  ,0.024    ,1.1  ,324    ,0.68,0.242  ,12.9         ,8.210           ,0.57             ,0.56                ,60                  ,4.068      ,0.064      ,0.060       ,4.785
803  ,Light  ,50   ,45    ,0.20,0.19       ,0.113         ,0.38  ,0.192    ,+    ,0.02   ,1.1 ,0.488  ,8.4          ,6.857           ,+                ,+                   ,4.7                 ,3.848      ,0.032      ,0.024       ,0.697
6574 ,Forever,25   ,25    ,0.34,13.9       ,8.564         ,3.7   ,2.172    ,2.0  ,18.9   ,44.3,13.57  ,6.4          ,6.219           ,4.7              ,2.3                 ,1.7                 ,111        ,5.62       ,0.044       ,0.176
10810,Center ,60   ,60    ,5.4 ,0.05       ,0.026         ,8.6   ,3.696    ,0    ,0.01   ,0.86,0.327  ,21.3         ,10.453          ,0.04             ,0.07                ,27.8                ,5.7        ,0.184      ,0.41        ,0.562
2040 ,Hot    ,55   ,60    ,0.11,0.06       ,0.043         ,0.83  ,0.476    ,+    ,72     ,0.93,0.278  ,16.1         ,9.985           ,+                ,+                   ,156                 ,3.15       ,0.064      ,0.060       ,7.354
6739 ,Karate ,40   ,40    ,0.06,0.03       ,0.023         ,0.80  ,0.476    ,17.3 ,1098   ,0.61,0.219  ,10.8         ,7.514           ,56.0             ,57.8                ,13.6                ,2.5        ,0.032      ,0.092       ,0.730
8098 ,9-Dom  ,19   ,19    ,20.3,11.7       ,6.40          ,11.0  ,5.972    ,240  ,+      ,168 ,70.416 ,4.9          ,6.284           ,756              ,3.8                 ,1.8                 ,510        ,20.74      ,2.15        ,0.133
2556 ,Flag   ,65   ,45    ,    ,0.02       ,0.017         ,0.55  ,0.228    ,1.5  ,0      ,24.2,5.628  ,66           ,37.303          ,3.4              ,+                   ,4.2                 ,149        ,0.024      ,0.24        ,0.136
2712 ,Lion   ,47   ,47    ,53.4,24.8       ,15.50         ,6.3   ,3.764    ,+    ,+      ,7.8 ,2.895  ,20.3         ,12.037          ,+                ,+                   ,+                   ,71         ,0.80       ,3.97        ,6.365
10088,Marley ,52   ,63    ,54.0,4.2        ,2.517         ,+     ,+        ,+    ,+      ,22.0,4.405  ,28.1         ,15.657          ,+                ,+                   ,174                 ,12.108     ,0.480      ,7.91        ,16.795
18297,Thing  ,36   ,42    ,504 ,+          ,+             ,402   ,200.184  ,+    ,+      ,120 ,46.166 ,46.8         ,26.916          ,+                ,+                   ,216                 ,321        ,472.90     ,9.21        ,16.326
9892 ,Nature ,50   ,40    ,108 ,+          ,+             ,+     ,+        ,1116 ,+      ,+   ,433.138,72           ,35.665          ,+                ,+                   ,144                 ,+          ,128.44     ,26          ,11.858
12548,Sierp  ,47   ,40    ,+   ,132        ,85.74         ,+     ,+        ,+    ,+      ,+   ,+      ,84           ,50.873          ,+                ,+                   ,+                   ,+          ,53516      ,136         ,178
22336,Gettys ,99   ,59    ,    ,+          ,+             ,+     ,+        ,+    ,+      ,+   ,+      ,630          ,413.137         ,+                ,+                   ,+                   ,+          ,85308      ,263         ,103
